State,Traffic Top Host 1,Traffic Top Host 2,Traffic Top Host 3
00,68.167.67.198:668810,77.120.154.165:999864,229.136.53.34:823213
01,128.84.11.74:37452,167.132.70.219:260784,83.36.43.3:805733
02,215.72.118.26:60089,33.104.135.187:54619,135.161.150.189:762555
03,104.62.24.116:534929,33.27.13.104:966903,80.188.27.123:749852
04,234.83.8.96:429554,23.129.214.159:238699,228.39.222.122:892691
05,161.227.34.185:342020,171.219.115.185:264819,106.9.0.134:521019
06,192.112.216.200:815953,70.224.82.28:498745,143.0.167.109:480875
07,139.15.94.174:784798,181.89.164.41:74675,232.147.28.232:104049
08,162.168.139.122:439506,92.193.80.174:866041,208.62.222.119:671629
09,89.2.187.183:691590,132.109.10.40:588288,29.16.42.58:970560
10,69.221.160.208:343313,17.44.24.97:857108,246.50.25.213:661677
11,197.46.172.128:901104,93.4.84.104:176694,234.134.61.21:753786
12,54.90.158.214:168524,246.231.87.15:287110,51.5.123.76:855172
13,36.18.9.209:574760,240.46.152.68:588373,197.47.28.2:269034
14,221.56.159.123:60882,202.113.247.34:503423,64.85.134.188:635889
15,97.225.181.107:697509,72.91.225.224:626821,119.165.207.148:657980
16,20.114.225.180:929324,240.126.95.232:630564,224.41.247.103:896688
17,154.200.198.79:203169,121.151.143.90:468606,48.210.29.0:400774
18,197.21.216.167:786494,198.152.72.38:502420,233.6.169.224:430544
19,143.123.54.86:790387,106.207.97.250:164993,217.42.252.247:168784
20,99.189.64.59:393872,9.2.253.81:158792,125.59.47.39:111178
21,157.182.151.212:51086,97.63.220.195:228462,7.157.101.3:582834
22,144.102.82.208:633707,183.218.164.180:173376,205.50.103.252:351405
23,132.154.16.27:435557,29.125.175.250:255959,233.1.223.79:20178
24,116.223.107.199:690826,13.126.139.178:200373,183.127.101.31:486097
25,191.164.23.208:749485,134.238.61.53:910344,127.31.234.94:433019
26,239.210.78.91:601433,255.105.24.139:109096,75.66.155.177:384592
27,23.113.6.47:257012,198.181.48.3:920541,25.131.11.3:880421
28,122.243.180.200:310396,78.200.184.102:326259,212.178.150.112:391870
29,248.136.213.255:716908,23.197.109.71:787030,88.96.76.100:393640
30,45.222.88.226:653491,168.48.111.97:590170,195.53.73.89:649895
31,174.82.46.131:318924,230.155.23.83:885668,224.172.67.45:65600
32,168.91.239.0:239011,150.169.109.6:39557,4.201.64.78:137727
33,230.252.117.21:500620,199.251.27.222:309129,254.191.251.65:923457
34,12.233.71.251:917337,132.146.147.242:595410,158.246.98.222:269736
35,133.196.65.250:850696,193.194.213.220:628152,36.218.96.32:111516
36,76.44.6.147:157361,241.24.186.133:41924,82.35.1.180:5082
37,70.58.197.135:207639,159.73.247.116:150713,152.153.1.248:724746
38,30.68.230.36:846104,14.21.241.200:605378,251.27.190.253:814862
39,191.67.10.133:796276,63.36.21.55:601173,60.207.51.61:780845
40,236.91.12.210:501065,229.225.150.214:665199,49.210.198.239:811156
41,150.174.19.161:203260,223.225.88.244:96624,242.48.232.38:431767
42,176.19.202.188:898452,74.162.199.224:470378,113.17.74.55:3538
43,26.206.175.45:436481,227.13.81.60:8151,105.47.50.82:334830
44,161.2.104.107:747285,78.182.97.22:589647,217.135.168.36:748492
45,169.62.141.89:424687,253.60.121.78:474333,124.184.168.175:42172
46,254.80.13.103:735792,204.182.114.45:798101,9.7.84.178:172408
47,19.91.106.161:706800,215.159.241.81:930604,107.205.166.20:487311
48,177.18.205.190:477360,137.139.48.252:723990,252.6.193.80:719883
49,237.100.20.88:25181,201.47.165.186:505741,148.37.79.58:226717
50,203.236.76.153:669904,199.34.54.247:122320,240.244.37.177:269220
51,221.158.169.241:963053,176.186.38.85:458991,167.234.155.247:144770
52,213.194.17.34:360081,189.233.127.244:877831,158.228.212.195:584621
53,25.161.52.195:574635,42.115.77.80:786321,195.248.179.94:936742
54,216.52.178.234:338008,14.167.63.142:606979,32.44.127.245:938396
55,21.15.145.73:821753,36.116.69.114:770034,15.53.189.194:580861
56,173.154.200.96:519382,31.111.44.95:989940,199.127.41.71:458156
57,26.92.132.171:649788,86.208.26.156:261892,223.171.120.157:429130
58,13.75.8.214:670979,141.246.27.185:333597,24.129.213.66:784923
59,74.92.37.206:32536,204.37.216.230:758323,27.198.109.148:389773
