State,Traffic Top Host 1,Traffic Top Host 2,Traffic Top Host 3
00,201.133.190.51:157062,56.113.70.175:225050,121.217.16.167:880870
01,74.100.42.88:32061,237.46.230.167:95503,107.11.119.172:206300
02,41.118.186.231:663766,226.31.27.40:808523,84.161.168.100:287340
03,138.175.174.180:30303,182.162.54.157:288326,78.9.85.197:710776
04,138.238.44.68:835518,214.39.245.241:311036,196.70.241.108:668290
05,59.247.90.233:671934,98.160.78.152:240162,152.231.70.238:674427
06,252.120.155.40:740389,113.254.228.102:938599,52.42.54.37:591277
07,225.96.142.59:289967,58.158.234.136:213317,39.33.29.110:60243
08,202.106.136.101:576189,69.215.146.42:240012,130.94.103.185:517961
09,255.154.229.141:838622,47.200.116.25:316721,171.65.114.201:687304
10,129.147.26.9:973157,174.79.208.64:476941,13.195.216.117:486289
11,93.116.23.66:10471,237.114.202.98:548647,27.14.206.142:841486
12,126.16.106.152:101592,99.71.105.52:529878,227.65.74.188:715856
13,199.26.44.222:363442,46.204.207.249:184733,92.21.61.42:640144
14,20.168.179.127:253971,205.227.136.55:93465,15.27.89.90:843848
15,16.34.242.61:3094,79.107.205.30:397033,252.122.123.58:644454
16,31.79.77.211:808620,142.160.178.22:846105,202.37.243.36:502297
17,203.53.162.190:446503,163.13.222.112:172521,67.109.166.191:654754
18,75.222.246.153:692632,197.39.82.120:240837,42.67.99.30:405196
19,228.234.156.134:660355,15.42.182.237:606414,226.49.8.137:939600
20,176.213.206.167:432537,128.108.150.210:896444,211.253.40.55:110225
21,144.27.7.45:634496,176.60.204.102:165410,104.73.91.112:823256
22,76.33.168.27:781824,23.155.53.173:428163,26.128.106.67:720003
23,135.211.211.142:5877,118.62.62.67:644508,104.171.238.196:109284
24,192.16.61.105:171072,5.128.198.58:177442,52.84.174.159:594088
25,102.38.108.58:706864,109.176.243.171:953028,152.20.159.134:847559
26,187.71.233.248:690133,21.253.48.220:217192,94.17.140.12:689843
27,36.115.215.144:679654,140.253.94.127:663520,82.23.190.241:619219
28,151.173.229.129:645971,150.150.162.199:449309,218.37.132.102:197931
29,52.139.166.11:107568,84.152.25.178:93193,195.5.47.129:967756
30,206.25.164.180:602562,74.74.48.237:72492,163.199.56.39:180016
31,107.92.185.17:408547,212.101.0.238:94918,24.177.30.72:200865
32,21.22.76.186:793868,230.4.22.23:945376,40.187.185.97:888386
33,231.204.64.160:865994,168.117.67.169:389171,91.194.21.121:41596
34,72.143.33.149:288646,236.124.78.2:577381,64.43.79.250:550843
35,50.225.89.114:509689,55.27.247.122:768907,91.213.134.112:308428
36,145.185.222.179:307430,40.159.202.118:636365,94.183.206.173:695726
37,91.224.147.181:326104,22.236.110.14:400201,51.105.60.186:853546
38,138.76.147.105:997841,226.145.159.173:31541,66.12.191.16:726911
39,113.108.154.5:131810,238.28.13.93:166180,116.144.148.176:295160
40,110.59.151.2:642710,151.229.53.54:573624,61.120.158.253:538676
41,89.111.246.243:459059,24.226.145.38:247249,188.154.208.80:293650
42,27.191.134.179:758556,43.74.167.96:506119,58.158.250.217:610281
43,132.50.11.122:149615,129.147.8.19:724545,71.207.84.23:125650
44,159.51.223.37:903259,161.81.50.73:694992,179.131.80.174:363927
45,236.50.143.248:678080,181.121.64.190:551382,250.6.92.78:117156
46,124.237.81.92:77482,56.254.100.106:279842,22.30.203.103:800410
47,40.84.255.184:299574,173.110.198.237:173662,83.232.50.176:213732
48,80.45.36.162:538284,56.219.136.157:273576,207.180.100.155:107648
49,49.195.111.49:484043,188.222.234.131:797832,22.214.180.73:528609
50,235.153.180.15:233296,62.72.22.198:896618,92.150.153.193:192864
51,181.243.245.36:141901,113.225.2.91:391787,206.113.59.131:728640
52,194.110.84.119:493373,143.181.198.166:484809,172.3.18.69:769125
53,67.251.184.56:124982,220.169.1.223:18964,101.173.118.160:192335
54,48.99.159.132:852617,30.20.143.228:731906,11.144.190.30:837282
55,131.98.209.59:604912,241.24.68.242:965117,73.88.164.191:972513
56,214.240.92.117:460092,54.148.138.198:471145,69.210.9.4:939485
57,223.136.82.176:765657,237.162.220.50:582041,211.123.237.120:232530
58,230.78.44.66:766652,162.120.88.44:245973,208.114.17.218:466098
59,1.185.255.84:416435,195.65.12.159:452000,161.114.239.143:917797
