State,Traffic Top Host 1,Traffic Top Host 2,Traffic Top Host 3
00,165.183.5.247:366645,35.217.203.140:758135,49.241.87.221:663007
01,163.50.176.166:596809,208.147.239.206:735711,176.32.160.92:994910
02,80.2.182.86:977358,20.121.211.224:24613,149.17.247.236:936511
03,161.143.34.81:213009,186.34.202.170:941513,134.90.17.39:716375
04,16.120.185.198:807673,179.219.72.135:734123,78.28.205.70:35546
05,189.231.152.223:225864,207.154.92.153:271353,77.32.160.94:282711
06,87.110.192.17:210706,143.197.17.215:297837,205.38.104.155:425313
07,113.88.84.10:219096,142.218.210.234:453924,24.55.148.184:587943
08,221.16.5.157:131211,59.45.230.76:19383,50.26.43.155:707980
09,152.13.13.237:94782,69.123.242.24:400116,102.48.158.251:910555
10,52.217.249.58:464671,26.117.164.1:760010,169.52.220.212:813932
11,146.108.221.159:351159,246.229.213.232:992201,60.79.46.218:293171
12,23.15.36.17:286365,155.43.191.63:178388,129.232.98.94:738057
13,50.240.41.16:562826,131.6.117.89:934967,115.149.62.162:435944
14,137.185.126.173:792979,199.72.246.134:531851,36.8.112.134:401944
15,45.185.87.87:790126,231.218.208.92:203793,192.208.201.255:448431
16,57.136.44.183:213523,247.127.127.238:26046,7.19.15.120:603106
17,118.165.84.205:988375,30.180.215.239:68990,12.175.226.213:682491
18,85.14.55.129:775004,110.121.70.237:407251,76.245.123.91:428745
19,22.210.19.106:622936,16.136.84.232:468193,101.244.39.72:789700
20,214.157.216.13:120596,159.123.152.229:412936,0.50.95.124:554964
21,204.146.96.224:986312,255.241.133.83:849692,252.185.206.36:6796
22,152.250.158.113:32904,189.16.132.86:959578,238.86.39.77:824419
23,181.26.101.21:979368,97.21.235.230:411903,197.227.35.147:31908
24,36.43.2.195:612271,11.129.173.143:841842,162.125.46.202:792965
25,1.128.229.102:586920,223.200.171.203:685618,21.144.147.56:142054
26,155.93.80.158:128844,236.169.162.153:223207,121.60.182.168:27340
27,129.169.135.103:63252,29.71.216.201:73242,136.222.163.27:90445
28,200.183.116.24:333376,149.4.254.55:619872,56.177.219.238:351128
29,226.112.3.105:842984,19.135.30.236:314113,49.116.47.213:563673
30,70.157.71.186:709167,156.80.186.155:531157,89.211.57.52:759531
31,147.22.51.150:500195,10.170.7.41:589372,87.91.11.134:190351
32,155.204.206.227:529784,131.127.215.62:107526,95.151.239.153:795124
33,177.45.226.228:765630,98.239.110.105:99464,5.192.116.16:278567
34,165.172.20.115:562767,155.247.16.115:209329,43.211.204.26:425117
35,152.204.153.122:691016,93.220.160.204:272841,186.209.6.46:885744
36,77.212.143.98:282149,31.253.63.47:443441,117.91.68.66:460416
37,177.218.66.75:331754,242.169.49.147:460425,119.77.71.125:486059
38,42.203.80.185:179242,153.217.43.216:36355,157.78.100.226:563324
39,218.147.106.28:873160,191.15.137.241:636498,254.104.240.70:900416
40,108.112.178.189:167677,224.86.4.11:186708,13.169.125.114:544989
41,14.76.31.120:411063,254.56.120.135:162294,27.134.146.12:802286
42,120.121.62.42:214201,105.11.141.109:90364,189.123.192.59:929976
43,75.73.58.107:759486,164.106.250.28:946741,36.56.121.182:267244
44,70.47.189.132:351600,244.238.101.130:359326,124.63.215.60:481119
45,197.136.196.0:953488,135.164.94.130:755537,80.166.249.202:362857
46,62.16.139.251:584364,229.239.131.75:444913,223.199.177.183:16124
47,44.125.140.241:491292,128.120.34.223:979690,227.48.161.221:977689
48,254.27.10.138:91255,160.112.7.36:731219,121.4.130.42:732497
49,134.87.56.19:284739,182.148.193.216:452435,188.188.164.93:603138
50,158.91.182.169:897888,205.73.85.212:430376,17.77.114.147:470686
51,45.26.207.102:179590,24.28.194.218:960385,54.150.178.218:955121
52,77.120.80.3:132494,54.208.107.140:646551,217.157.243.76:191016
53,107.121.75.59:876835,121.84.253.59:183161,243.113.197.165:297887
54,186.242.196.10:961690,230.64.198.82:799800,108.44.105.95:471565
55,154.203.242.230:28996,211.95.91.208:606321,138.195.13.80:413196
56,89.10.92.30:83260,82.5.85.25:342595,34.134.132.140:899314
57,252.39.177.239:53464,185.194.109.21:575886,8.160.87.21:939788
58,193.111.251.29:552193,16.112.146.102:541570,234.137.17.110:86310
59,247.107.61.169:355492,75.98.29.184:467855,177.192.23.8:837673
