State,Traffic Top Host 1,Traffic Top Host 2,Traffic Top Host 3
00,97.76.90.56:815159,66.249.202.205:766550,105.108.254.130:481068
01,10.67.161.16:752443,240.243.248.27:132778,202.197.16.14:373661
02,253.112.171.88:658435,124.154.161.70:408006,101.175.212.100:197943
03,79.110.117.241:495391,54.225.114.46:990864,148.249.194.165:31199
04,34.162.120.206:978332,32.74.149.194:569302,253.40.65.210:547696
05,116.34.250.234:77459,121.32.245.236:311100,243.128.73.182:149065
06,81.216.200.201:652665,195.234.241.88:673791,131.86.212.197:158862
07,96.57.75.91:140597,94.212.68.84:753357,148.72.65.221:993401
08,103.46.215.48:969418,126.243.226.112:296355,142.243.162.99:722775
09,202.196.242.21:123871,22.116.244.91:786107,181.239.17.246:802761
10,15.94.252.230:559374,244.100.130.214:831591,206.101.200.112:785354
11,129.59.141.116:316532,173.139.197.161:900892,142.86.214.160:304273
12,164.175.172.160:587729,59.148.251.190:420219,208.141.209.152:990928
13,154.26.56.39:557497,137.212.25.79:461736,0.222.205.215:494984
14,27.123.46.199:106958,196.3.176.192:758303,27.144.79.236:160883
15,76.135.67.133:682519,210.15.131.236:373059,249.236.62.198:763930
16,188.225.62.235:661629,89.176.172.10:439287,111.37.0.190:73607
17,42.11.153.109:566643,72.63.160.204:171788,0.197.24.62:548238
18,220.251.110.26:900258,23.116.150.196:495648,7.51.164.8:944256
19,183.50.252.81:623885,141.154.223.46:400152,11.47.44.36:428872
20,184.0.105.38:105234,79.61.143.230:8859,14.237.53.179:958188
21,39.106.39.36:736868,199.178.86.166:879885,189.178.16.233:837444
22,126.161.214.231:783088,241.54.6.129:113262,8.143.10.62:262077
23,255.101.174.38:539589,106.238.60.193:581123,29.127.71.46:408908
24,29.172.10.244:578354,211.229.202.217:401476,231.226.246.242:126945
25,57.241.134.231:96490,16.82.6.76:78715,155.106.147.226:597370
26,251.0.69.6:953258,217.217.217.164:700321,64.140.149.54:494741
27,181.112.112.60:344630,137.76.170.143:599635,190.43.4.82:54598
28,157.78.13.226:330987,2.188.46.219:378512,225.28.237.119:323915
29,108.45.195.220:411573,27.101.181.198:958557,79.133.32.83:840798
30,46.240.37.60:825470,122.62.143.168:103071,240.138.54.221:6194
31,137.73.46.76:149924,152.104.139.78:182663,129.157.179.162:942123
32,139.208.225.176:53142,181.42.76.68:824671,102.53.93.157:75293
33,95.38.93.141:450149,131.37.219.15:453100,10.144.17.190:198817
34,2.73.3.228:976362,17.153.36.93:869418,247.196.19.85:381364
35,39.180.136.132:257634,251.8.103.215:91993,219.225.168.237:624146
36,219.240.233.223:831120,227.240.110.7:305054,77.255.18.97:329626
37,116.136.8.252:49413,74.247.20.178:807253,44.142.176.212:482934
38,79.175.107.57:558070,64.28.127.175:140773,205.252.35.223:364129
39,119.84.229.128:314075,242.202.72.6:488650,22.51.11.198:29724
40,134.22.183.242:311863,70.51.108.197:884387,144.146.222.179:448416
41,59.43.198.33:670057,23.19.118.95:102026,243.118.77.254:237717
42,84.133.83.12:470101,163.82.171.15:94141,142.159.170.108:325567
43,29.168.126.228:787973,42.251.221.160:356744,247.147.209.68:572201
44,14.153.24.97:645543,144.5.247.60:81004,15.202.180.186:214054
45,7.216.223.134:739692,168.176.185.134:316757,20.125.228.230:756043
46,119.244.90.143:336142,255.31.91.247:359386,111.7.38.36:759518
47,92.44.155.60:698628,88.229.99.17:418932,180.38.232.153:48949
48,170.16.0.4:626353,86.4.192.178:984930,28.34.3.66:275456
49,198.159.114.97:857681,37.185.192.137:795051,44.61.242.20:841030
50,254.190.232.255:762276,136.86.199.72:32372,195.101.42.199:654108
51,112.141.70.227:932924,34.9.168.227:572850,116.15.208.102:139196
52,167.100.226.143:390640,165.24.186.108:379860,194.48.198.236:969364
53,109.93.133.180:255355,116.214.74.29:726775,221.145.201.173:965977
54,236.85.91.206:896953,191.116.254.122:879683,95.60.17.37:162044
55,10.147.135.143:280845,200.4.30.19:130810,216.240.178.162:619827
56,169.142.244.5:366745,217.197.210.216:250035,179.55.124.197:363275
57,166.207.240.45:371493,56.245.99.87:35661,132.47.249.55:820308
58,152.225.96.140:904379,190.102.173.144:245912,237.68.118.106:37373
59,211.16.216.195:240233,55.251.51.155:324197,60.32.130.54:343941
